"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 15:08:12 IRKT 2022","Mon Dec 19 15:08:19 IRKT 2022","6930","","demo calculator tests","","demo calculator tests","subtraction test","subtraction test",""
"passed","Mon Dec 19 15:08:05 IRKT 2022","Mon Dec 19 15:08:12 IRKT 2022","6928","","demo calculator tests","","demo calculator tests","addition test","addition test",""
